X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,W,Y
33,83,2,4,1,0.12,-0.71,-1.4,-0.51,1.5,0.26,-2.19,0.8,0.06,-0.53,0.9,0.34,1.51,0.12,0.21,1,46.6737211822636
68,84,4,1,2,1.04,1.24,-1.27,-0.29,-0.87,-0.79,1.63,-1.68,0.73,0.83,0.87,0.92,0.34,0.34,0.71,1,69.0561746054191
73,89,4,5,3,0.3,-1.22,-0.92,1.33,2.48,0.43,0.5,0.88,-0.63,-0.29,-0.22,0.73,-0.15,-0.24,-0.78,1,58.87641117657
41,83,3,2,1,0.09,1.15,-1.8,-0.48,-0.65,0.07,-0.03,-0.99,-0.9,0.45,-0.19,-2.08,-1.04,2.81,0.49,1,53.2335969464396
32,74,3,2,2,0.28,-0.35,-1.55,-2.07,-0.83,-0.79,0.59,-0.83,-0.3,-0.38,-0.72,-0.4,-0.51,1.32,3.16,1,41.0926781258806
52,87,3,2,3,1.42,-1.7,0,-0.32,-0.48,1.39,0.61,1.08,-1.12,0.22,0.16,0.58,-1.51,-0.98,-0.6,1,57.268518103946
36,90,3,2,2,1.1,0.07,0.08,-0.63,-0.53,0.37,-0.81,0,-0.49,0.25,0.69,0.07,-1.34,0.33,0.89,1,55.8792781805405
71,76,4,1,1,-2.02,0.97,0.76,0.77,-0.09,0.85,-0.61,-1.42,2.86,-0.72,0.32,-0.46,0.39,-0.5,0.96,1,66.1060155452554
73,90,2,4,3,-1.24,0.8,-1.16,-0.47,-1.49,0.3,-0.35,-1.95,-3.53,1.61,1.06,-1.3,0.57,1.93,-0.61,1,67.1131429903045
47,93,2,3,2,0.3,0.35,-0.63,-0.26,0.56,0.39,-0.2,-0.64,-0.15,-0.5,-0.17,-0.43,-0.65,0.57,-0.59,1,62.7238589743357
54,77,3,3,2,-1.61,1.01,1.26,0.8,0.18,-0.01,0.68,-2.63,0.03,0.72,-1.14,-1.62,-0.79,0.26,-1.32,1,52.7329363532383
55,97,4,2,2,0.2,0.21,0.81,0.29,0.36,-0.58,0.85,-1.98,-1.19,-1.42,0.11,-0.19,-1.02,-0.26,-1.27,1,62.5268613001762
65,80,3,3,2,-0.02,2.09,-0.56,-0.88,1.05,-0.01,-1.09,0.52,-0.06,-1.3,0.26,-1.73,-2.05,0.09,-0.64,1,57.5057335108104
60,90,3,3,3,-0.53,-1.44,1.22,-1.01,-0.57,0.54,-0.77,-3.95,1.26,-0.13,-0.22,1.09,1.98,-2.68,0.13,0,63.9481785549192
69,78,3,4,2,0.39,0.38,-0.07,0.99,3.2,1.24,-0.1,-0.16,1.32,-1.73,-1.49,0.8,-1.37,1.05,-1.51,1,67.2781952141268
43,91,3,3,3,-0.55,0.76,0.41,1.35,0.53,1.62,-1.61,0,-0.63,-1.62,2.09,0.63,-0.21,0.82,0.67,1,59.2703725967867
49,72,3,5,3,0.29,-1.76,0,0.99,-1.95,-0.12,0.47,0.32,0.94,-0.04,-0.38,-0.84,-0.52,0.14,-0.4,1,63.6210711918047
74,81,3,2,3,-1.17,-0.27,0.29,0.42,-1.2,2.59,1.04,-0.61,0.26,0.44,-0.58,1.51,0.48,-1.08,1.13,1,60.8278284737984
39,92,4,2,1,1.06,-0.83,-0.69,-1.29,-2.14,0.23,-0.13,1.01,-0.74,1.72,-0.68,-0.71,-0.64,-0.29,0.54,1,65.6923816581651
31,69,3,3,1,-0.94,1.6,-0.03,-0.02,-1.47,0.38,-1.12,-1.32,-0.98,-0.69,-1.2,0.39,-0.09,-0.2,2.67,1,48.8879831272873
39,90,4,2,1,-1.03,-0.76,0.49,0.26,1.19,-1.45,0.16,0.63,0.98,-1.57,-0.97,-0.37,1.15,-0.5,0.18,1,60.2799124415459
74,98,4,4,3,-0.33,-0.52,0.54,0.83,0.55,1.72,1.44,-2.05,0.97,-1.52,0.75,0.84,-0.25,0.86,0.21,1,65.6618505547335
68,86,3,1,3,0.25,0.36,-1.26,-0.14,0.23,0.42,0.28,0.65,-0.71,0.32,0.82,0.62,-0.5,-0.88,0.83,1,70.2405170186348
54,98,4,5,2,-0.89,-1.48,-0.17,0.36,-0.75,0.2,0.4,2.77,-0.29,0.93,0.16,-0.55,-0.07,0.24,-1.21,1,68.0260894648786
37,76,3,4,1,0.47,-0.33,1.08,-1.81,-2.51,1.6,-2.46,-0.74,0.78,-0.77,1.72,0.05,2.54,-0.53,0.72,1,47.8723305446277
66,77,3,3,3,2.17,0.45,-0.54,1.43,0.32,0.01,0.45,0.91,0.59,-1.31,1.14,-0.32,0.79,0.12,2.4,1,54.6178400520121
47,82,4,4,1,0.08,-1.77,-0.85,-0.03,2.32,-0.59,-2.2,0.06,-0.93,1.81,0.96,1.28,-0.41,1.94,-1.39,1,53.1012407228263
41,91,4,4,1,-1.33,-1.06,-1.09,0.24,0.34,-0.77,-1.53,0.84,0.46,1.05,0.62,-0.8,-1.14,-0.7,-1.18,1,67.7438139478685
53,91,4,2,3,-0.52,-2.58,0.76,0.49,0.15,-2.07,0.45,-1.11,0.23,-1.78,-1.06,0.11,1.09,1.26,1.13,1,63.407752954472
73,92,3,2,1,1.16,-0.06,-2.48,0.07,0.68,-0.08,0.69,-0.34,-0.75,1.24,-0.31,-0.27,-0.57,-0.18,-0.76,1,62.7229287192038
40,90,4,1,1,-0.77,0.6,-0.41,-0.27,-1.57,-2.06,0.36,0.41,-0.31,1.02,0.43,-0.86,-0.69,0.69,1.83,1,53.0659553719784
38,82,3,5,3,0.64,-0.24,1.39,0.09,0.92,0.81,-1.46,-0.86,-0.3,0.5,0.68,-1.22,0.92,-0.55,1.15,1,56.826661047995
34,95,3,1,1,0.03,-0.73,-1.17,-1.28,0.48,0.26,-0.8,1.06,-0.97,-2.24,-2.35,0.64,-0.08,0.88,-0.91,1,62.8992954924292
40,76,3,3,2,-0.11,-0.26,1.74,-0.22,-1.21,0.06,0.64,-0.37,-0.08,1.32,0.58,0.92,0.56,-0.67,0,1,57.9801657445428
58,61,5,3,2,-0.99,0.23,0.67,-2.21,1.56,1.53,-0.41,-0.4,-0.03,0.85,1.5,1.12,0.38,1.69,1.16,0,47.8870626198442
58,92,5,5,1,-0.05,-0.87,0.07,-0.34,-0.5,-0.95,1.95,-1.64,0.75,0.12,-0.21,-2.02,-0.94,2.39,0.47,1,62.632335901406
45,62,5,3,2,-2.61,0.9,-0.53,0.41,0.61,1.25,-0.84,0.79,1.54,0.44,-0.21,1.37,-0.12,-1.22,-1.47,1,46.8197153977665
54,84,3,1,3,0.38,-1.04,-0.6,-0.8,-1.84,0.1,-1.66,-0.27,-0.47,0.81,1.91,-0.03,-0.06,-0.58,-0.75,1,59.9576416398815
41,91,3,4,3,0.46,1.61,0.87,0.29,0.33,0.94,0.47,0.16,-0.45,-0.93,-0.05,1.4,1.12,-0.74,0.44,1,60.2790876814055
45,74,4,2,1,1.19,-0.61,1.48,0.12,-0.61,-0.32,-0.09,0.79,1.35,-0.03,-0.73,1.05,-1.11,-0.5,0.69,1,53.3916666620215
34,56,3,4,1,-0.66,-0.13,0.52,-0.81,-0.35,1.2,-0.55,0.16,0.38,-0.45,-0.63,-0.26,-0.15,0.45,-0.01,0,40.870447094188
66,68,4,5,3,-0.83,-0.02,-0.31,-0.64,1.06,1.41,1.58,-1.68,-0.33,-1.14,2.62,2.26,1.29,-0.7,0.69,1,62.8160864436387
55,84,4,1,1,-2.09,0.31,0.21,-1.85,0.12,-0.45,-0.32,-1.06,0.01,0.75,1.65,1.28,-1.01,0.71,0.69,1,61.8833128111804
